timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1568029104034,525,285 /app/authentication,200,OK,manual assign job 1-1,,true,,1012,520,1,1,525,0,286
1568029104805,22,403 /app/rest/account,200,OK,manual assign job 1-1,text,true,,1678,475,1,1,22,0,0
1568029103989,547,authenticate,200,"Number of samples in transaction : 2, number of failing samples : 0",manual assign job 1-1,,true,,2690,995,1,1,547,300,286
1568029104845,190,JSR223 Sampler,200,OK,manual assign job 1-1,text,true,,320,0,1,1,0,0,0
1568029105043,3420,HTTPREQ Manaul Assign,200,OK,manual assign job 1-1,text,true,,1021,852,1,1,3420,0,0
1568029105043,3420,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-1,,true,,1021,852,1,1,3420,8,0
1568029108479,80,JSR223 Sampler,200,OK,manual assign job 1-1,text,true,,320,0,1,1,0,0,0
1568029108569,1896,HTTPREQ Manaul Assign,200,OK,manual assign job 1-1,text,true,,1021,852,1,1,1896,0,52
1568029108569,1896,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-1,,true,,1021,852,1,1,1896,9,52
1568029110482,80,JSR223 Sampler,200,OK,manual assign job 1-1,text,true,,320,0,1,1,0,0,0
1568029110569,1748,HTTPREQ Manaul Assign,200,OK,manual assign job 1-1,text,true,,1021,852,1,1,1748,0,0
1568029110569,1748,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-1,,true,,1021,852,1,1,1748,9,0
1568029112332,75,JSR223 Sampler,200,OK,manual assign job 1-1,text,true,,320,0,1,1,0,0,0
1568029112415,1722,HTTPREQ Manaul Assign,200,OK,manual assign job 1-1,text,true,,1021,852,1,1,1722,0,50
1568029112415,1722,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-1,,true,,1021,852,1,1,1722,9,50
1568029104844,9211,ManualAssign100,200,"Number of samples in transaction : 8, number of failing samples : 0",manual assign job 1-1,,true,,5364,3408,1,1,8786,96,102
1568034654241,509,285 /app/authentication,200,OK,manual assign job 1-1,,true,,1012,520,1,1,509,0,288
1568034654983,21,403 /app/rest/account,200,OK,manual assign job 1-1,text,true,,1678,475,1,1,21,0,0
1568034654198,530,authenticate,200,"Number of samples in transaction : 2, number of failing samples : 0",manual assign job 1-1,,true,,2690,995,1,1,530,285,288
1568034655020,201,JSR223 Sampler,200,OK,manual assign job 1-1,text,true,,320,0,1,1,0,0,0
1568034655229,1812,HTTPREQ Manaul Assign,200,OK,manual assign job 1-1,text,true,,1021,852,1,1,1812,0,0
1568034655228,1812,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-1,,true,,1021,852,1,1,1812,8,0
1568034657054,75,JSR223 Sampler,200,OK,manual assign job 1-1,text,true,,320,0,1,1,0,0,0
1568034657137,1782,HTTPREQ Manaul Assign,200,OK,manual assign job 1-1,text,true,,1021,852,1,1,1782,0,50
1568034657137,1782,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-1,,true,,1021,852,1,1,1782,8,50
1568034658935,135,JSR223 Sampler,200,OK,manual assign job 1-1,text,true,,320,0,1,1,0,0,0
1568034659080,1671,HTTPREQ Manaul Assign,200,OK,manual assign job 1-1,text,true,,1021,852,1,1,1671,0,0
1568034659079,1671,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-1,,true,,1021,852,1,1,1671,13,0
1568034660771,87,JSR223 Sampler,200,OK,manual assign job 1-1,text,true,,320,0,1,1,0,0,0
1568034660866,1679,HTTPREQ Manaul Assign,200,OK,manual assign job 1-1,text,true,,1021,852,1,1,1679,0,49
1568034660866,1679,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-1,,true,,1021,852,1,1,1679,7,49
1568034655020,7442,ManualAssign100,200,"Number of samples in transaction : 8, number of failing samples : 0",manual assign job 1-1,,true,,5364,3408,1,1,6944,96,99
1568098388860,524,285 /app/authentication,200,OK,manual assign job 1-1,,true,,1012,520,1,1,524,0,268
1568098389605,23,403 /app/rest/account,200,OK,manual assign job 1-1,text,true,,1680,475,1,1,22,0,0
1568098388803,547,authenticate,200,"Number of samples in transaction : 2, number of failing samples : 0",manual assign job 1-1,,true,,2692,995,1,1,546,286,268
1568098389642,159,JSR223 Sampler,200,OK,manual assign job 1-1,text,true,,320,0,1,1,0,0,0
1568098389808,3733,HTTPREQ Manaul Assign,200,OK,manual assign job 1-1,text,true,,1023,852,1,1,3733,0,0
1568098389808,3733,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-1,,true,,1023,852,1,1,3733,8,0
1568098393556,88,JSR223 Sampler,200,OK,manual assign job 1-1,text,true,,320,0,1,1,0,0,0
1568098393652,1830,HTTPREQ Manaul Assign,200,OK,manual assign job 1-1,text,true,,1023,852,1,1,1830,0,46
1568098393651,1830,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-1,,true,,1023,852,1,1,1830,8,46
1568098395494,73,JSR223 Sampler,200,OK,manual assign job 1-1,text,true,,320,0,1,1,0,0,0
1568098395573,1726,HTTPREQ Manaul Assign,200,OK,manual assign job 1-1,text,true,,1023,852,1,1,1726,0,0
1568098395573,1726,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-1,,true,,1023,852,1,1,1726,8,0
